nominal,data,curs,cdx
1,2018-12-30,32.0732,Белорусский рубль
1,2018-12-29,32.1935,Белорусский рубль
1,2018-12-28,32.0503,Белорусский рубль
1,2018-12-27,32.0805,Белорусский рубль
1,2018-12-26,32.1237,Белорусский рубль
1,2018-12-25,31.984,Белорусский рубль
1,2018-12-22,31.9889,Белорусский рубль
1,2018-12-21,31.6965,Белорусский рубль
1,2018-12-20,31.5154,Белорусский рубль
1,2018-12-19,31.4318,Белорусский рубль
1,2018-12-18,31.3805,Белорусский рубль
1,2018-12-15,31.3293,Белорусский рубль
1,2018-12-14,31.2745,Белорусский рубль
1,2018-12-13,31.2356,Белорусский рубль
1,2018-12-12,31.3128,Белорусский рубль
1,2018-12-11,31.2269,Белорусский рубль
1,2018-12-08,31.397,Белорусский рубль
1,2018-12-07,31.2838,Белорусский рубль
1,2018-12-06,31.3141,Белорусский рубль
1,2018-12-05,31.2132,Белорусский рубль
1,2018-12-04,31.1552,Белорусский рубль
1,2018-12-01,31.2217,Белорусский рубль
1,2018-11-30,31.247,Белорусский рубль
1,2018-11-29,31.1902,Белорусский рубль
1,2018-11-28,31.3521,Белорусский рубль
1,2018-11-27,31.4232,Белорусский рубль
1,2018-11-24,31.2058,Белорусский рубль
1,2018-11-23,31.2264,Белорусский рубль
1,2018-11-22,31.3295,Белорусский рубль
1,2018-11-21,31.2692,Белорусский рубль
1,2018-11-20,31.3727,Белорусский рубль
1,2018-11-17,31.306,Белорусский рубль
1,2018-11-16,31.4107,Белорусский рубль
1,2018-11-15,31.6931,Белорусский рубль
1,2018-11-14,31.5751,Белорусский рубль
1,2018-11-13,31.4943,Белорусский рубль
1,2018-11-10,31.3701,Белорусский рубль
1,2018-11-09,31.2367,Белорусский рубль
1,2018-11-08,31.1093,Белорусский рубль
1,2018-11-07,31.1059,Белорусский рубль
1,2018-11-03,30.9704,Белорусский рубль
1,2018-11-02,31.0073,Белорусский рубль
1,2018-11-01,30.9562,Белорусский рубль
1,2018-10-31,31.0475,Белорусский рубль
1,2018-10-30,31.1275,Белорусский рубль
1,2018-10-27,31.0769,Белорусский рубль
1,2018-10-26,31.163,Белорусский рубль
1,2018-10-25,31.1485,Белорусский рубль
1,2018-10-24,31.1297,Белорусский рубль
1,2018-10-23,31.1532,Белорусский рубль
1,2018-10-20,31.1944,Белорусский рубль
1,2018-10-19,31.1709,Белорусский рубль
1,2018-10-18,31.0731,Белорусский рубль
1,2018-10-17,31.0424,Белорусский рубль
1,2018-10-16,31.0218,Белорусский рубль
1,2018-10-13,30.9888,Белорусский рубль
1,2018-10-12,31.1687,Белорусский рубль
1,2018-10-11,30.8474,Белорусский рубль
1,2018-10-10,30.835,Белорусский рубль
1,2018-10-09,31.0471,Белорусский рубль
1,2018-10-06,30.8387,Белорусский рубль
1,2018-10-05,30.7674,Белорусский рубль
1,2018-10-04,30.6682,Белорусский рубль
1,2018-10-03,30.7289,Белорусский рубль
1,2018-10-02,31.0265,Белорусский рубль
1,2018-09-29,31.093,Белорусский рубль
1,2018-09-28,31.2313,Белорусский рубль
1,2018-09-27,31.3958,Белорусский рубль
1,2018-09-26,31.4874,Белорусский рубль
1,2018-09-25,31.7921,Белорусский рубль
1,2018-09-22,31.9353,Белорусский рубль
1,2018-09-21,31.8584,Белорусский рубль
1,2018-09-20,31.9049,Белорусский рубль
1,2018-09-19,31.9358,Белорусский рубль
1,2018-09-18,31.9418,Белорусский рубль
1,2018-09-15,31.9526,Белорусский рубль
1,2018-09-14,31.9019,Белорусский рубль
1,2018-09-13,32.1056,Белорусский рубль
1,2018-09-12,32.3058,Белорусский рубль
1,2018-09-11,32.339,Белорусский рубль
1,2018-09-08,32.2639,Белорусский рубль
1,2018-09-07,32.186,Белорусский рубль
1,2018-09-06,32.2938,Белорусский рубль
1,2018-09-05,32.4572,Белорусский рубль
1,2018-09-04,32.4913,Белорусский рубль
1,2018-09-01,32.6745,Белорусский рубль
1,2018-08-31,32.7791,Белорусский рубль
1,2018-08-30,32.8727,Белорусский рубль
1,2018-08-29,32.738,Белорусский рубль
1,2018-08-28,32.8362,Белорусский рубль
1,2018-08-25,32.9755,Белорусский рубль
1,2018-08-24,33.3087,Белорусский рубль
1,2018-08-23,33.1047,Белорусский рубль
1,2018-08-22,32.9063,Белорусский рубль
1,2018-08-21,32.8512,Белорусский рубль
1,2018-08-18,32.6701,Белорусский рубль
1,2018-08-17,32.599,Белорусский рубль
1,2018-08-16,32.3633,Белорусский рубль
1,2018-08-15,32.5389,Белорусский рубль
1,2018-08-14,33.0252,Белорусский рубль
1,2018-08-11,32.6092,Белорусский рубль
1,2018-08-10,32.4611,Белорусский рубль
1,2018-08-09,31.6551,Белорусский рубль
1,2018-08-08,31.6132,Белорусский рубль
1,2018-08-07,31.5908,Белорусский рубль
1,2018-08-04,31.5304,Белорусский рубль
1,2018-08-03,31.5758,Белорусский рубль
1,2018-08-02,31.4715,Белорусский рубль
1,2018-08-01,31.4374,Белорусский рубль
1,2018-07-31,31.5195,Белорусский рубль
1,2018-07-28,31.5969,Белорусский рубль
1,2018-07-27,31.6508,Белорусский рубль
1,2018-07-26,31.7274,Белорусский рубль
1,2018-07-25,31.6517,Белорусский рубль
1,2018-07-24,31.6723,Белорусский рубль
1,2018-07-21,31.7794,Белорусский рубль
1,2018-07-20,31.6928,Белорусский рубль
1,2018-07-19,31.6401,Белорусский рубль
1,2018-07-18,31.5728,Белорусский рубль
1,2018-07-17,31.581,Белорусский рубль
1,2018-07-14,31.629,Белорусский рубль
1,2018-07-13,31.6121,Белорусский рубль
1,2018-07-12,31.5458,Белорусский рубль
1,2018-07-11,31.6734,Белорусский рубль
1,2018-07-10,31.8226,Белорусский рубль
1,2018-07-07,31.7913,Белорусский рубль
1,2018-07-06,31.8163,Белорусский рубль
1,2018-07-05,31.7323,Белорусский рубль
1,2018-07-04,31.8405,Белорусский рубль
1,2018-07-03,31.8003,Белорусский рубль
1,2018-06-30,31.5359,Белорусский рубль
1,2018-06-29,31.6408,Белорусский рубль
1,2018-06-28,31.5601,Белорусский рубль
1,2018-06-27,31.482,Белорусский рубль
1,2018-06-26,31.5886,Белорусский рубль
1,2018-06-23,31.699,Белорусский рубль
1,2018-06-22,31.8141,Белорусский рубль
1,2018-06-21,31.769,Белорусский рубль
1,2018-06-20,31.772,Белорусский рубль
1,2018-06-19,31.5871,Белорусский рубль
1,2018-06-16,31.3034,Белорусский рубль
1,2018-06-15,31.11,Белорусский рубль
1,2018-06-14,31.4325,Белорусский рубль
1,2018-06-10,31.2497,Белорусский рубль
1,2018-06-09,31.2871,Белорусский рубль
1,2018-06-08,30.9915,Белорусский рубль
1,2018-06-07,30.9877,Белорусский рубль
1,2018-06-06,30.9292,Белорусский рубль
1,2018-06-05,30.9258,Белорусский рубль
1,2018-06-02,30.9096,Белорусский рубль
1,2018-06-01,30.8398,Белорусский рубль
1,2018-05-31,30.9793,Белорусский рубль
1,2018-05-30,30.9726,Белорусский рубль
1,2018-05-29,31.0192,Белорусский рубль
1,2018-05-26,30.8407,Белорусский рубль
1,2018-05-25,30.7506,Белорусский рубль
1,2018-05-24,30.7973,Белорусский рубль
1,2018-05-23,30.7844,Белорусский рубль
1,2018-05-22,31.282,Белорусский рубль
1,2018-05-19,31.0325,Белорусский рубль
1,2018-05-18,30.9882,Белорусский рубль
1,2018-05-17,31.1361,Белорусский рубль
1,2018-05-16,30.9582,Белорусский рубль
1,2018-05-15,30.8842,Белорусский рубль
1,2018-05-12,30.7371,Белорусский рубль
1,2018-05-11,31.0057,Белорусский рубль
1,2018-05-09,31.1528,Белорусский рубль
1,2018-05-08,31.0808,Белорусский рубль
1,2018-05-05,31.229,Белорусский рубль
1,2018-05-04,31.4521,Белорусский рубль
1,2018-04-29,31.0542,Белорусский рубль
1,2018-04-28,31.1992,Белорусский рубль
1,2018-04-27,31.2,Белорусский рубль
1,2018-04-26,30.8516,Белорусский рубль
1,2018-04-25,30.7937,Белорусский рубль
1,2018-04-24,30.8057,Белорусский рубль
1,2018-04-21,30.6305,Белорусский рубль
1,2018-04-20,30.3004,Белорусский рубль
1,2018-04-19,30.415,Белорусский рубль
1,2018-04-18,29.9732,Белорусский рубль
1,2018-04-17,30.5291,Белорусский рубль
1,2018-04-14,30.1724,Белорусский рубль
1,2018-04-13,30.3382,Белорусский рубль
1,2018-04-12,31.0005,Белорусский рубль
1,2018-04-11,30.6035,Белорусский рубль
1,2018-04-10,29.6189,Белорусский рубль
1,2018-04-07,29.4691,Белорусский рубль
1,2018-04-06,29.3101,Белорусский рубль
1,2018-04-05,29.3519,Белорусский рубль
1,2018-04-04,29.4234,Белорусский рубль
1,2018-04-03,29.3694,Белорусский рубль
1,2018-03-31,29.329,Белорусский рубль
1,2018-03-30,29.5915,Белорусский рубль
1,2018-03-29,29.5178,Белорусский рубль
1,2018-03-28,29.3655,Белорусский рубль
1,2018-03-27,29.2853,Белорусский рубль
1,2018-03-24,29.3384,Белорусский рубль
1,2018-03-23,29.1782,Белорусский рубль
1,2018-03-22,29.3045,Белорусский рубль
1,2018-03-21,29.3955,Белорусский рубль
1,2018-03-20,29.3184,Белорусский рубль
1,2018-03-17,29.3039,Белорусский рубль
1,2018-03-16,29.109,Белорусский рубль
1,2018-03-15,29.0793,Белорусский рубль
1,2018-03-14,29.1009,Белорусский рубль
1,2018-03-13,28.9502,Белорусский рубль
1,2018-03-08,29.0246,Белорусский рубль
1,2018-03-07,28.8507,Белорусский рубль
1,2018-03-06,28.948,Белорусский рубль
1,2018-03-03,28.9385,Белорусский рубль
1,2018-03-02,28.8367,Белорусский рубль
1,2018-03-01,28.7697,Белорусский рубль
1,2018-02-28,28.5057,Белорусский рубль
1,2018-02-27,28.6333,Белорусский рубль
1,2018-02-23,28.908,Белорусский рубль
1,2018-02-22,28.8976,Белорусский рубль
1,2018-02-21,28.8147,Белорусский рубль
1,2018-02-20,28.7689,Белорусский рубль
1,2018-02-17,28.7601,Белорусский рубль
1,2018-02-16,28.6179,Белорусский рубль
1,2018-02-15,28.9498,Белорусский рубль
1,2018-02-14,29.0229,Белорусский рубль
1,2018-02-13,29.0667,Белорусский рубль
1,2018-02-10,29.0786,Белорусский рубль
1,2018-02-09,28.8584,Белорусский рубль
1,2018-02-08,28.6557,Белорусский рубль
1,2018-02-07,28.797,Белорусский рубль
1,2018-02-06,28.6144,Белорусский рубль
1,2018-02-03,28.4039,Белорусский рубль
1,2018-02-02,28.5156,Белорусский рубль
1,2018-02-01,28.3829,Белорусский рубль
1,2018-01-31,28.3798,Белорусский рубль
1,2018-01-30,28.4182,Белорусский рубль
1,2018-01-27,28.3395,Белорусский рубль
1,2018-01-26,28.3471,Белорусский рубль
1,2018-01-25,28.4792,Белорусский рубль
1,2018-01-24,28.5195,Белорусский рубль
1,2018-01-23,28.6352,Белорусский рубль
